번호,사업장명,영업상태명,소재지전체주소,좌표정보(x),좌표정보(y),위생업태명
1439864,조부자매운순대가퇴계점,영업/정상,강원도 춘천시 퇴계동 1159-2,263622.351216445,485167.303398065,한식
1439865,고향칼국수,영업/정상,"강원도 원주시 중앙동 56-44번지 자유시장 지층 30부럭9,10호",284033.921552232,428036.658847502,한식
1439866,부영가정식백반,영업/정상,강원도 춘천시 석사동 124-1,266385.949345659,483220.351760958,한식
1439867,산촌흑염소,영업/정상,강원도 춘천시 석사동 907-6 (지상1층),265866.759125426,483313.440797764,한식
1439868,마라홀릭마라탕퇴계석사점,영업/정상,강원도 춘천시 석사동 880-4 (프라임타워 112호),265419.195718634,483446.822404389,기타
1439869,곱곱창구이,영업/정상,강원도 춘천시 동내면 거두리 958-8,266308.549077674,483570.012520876,한식
1439870,굴마을춘천강남점,영업/정상,강원도 춘천시 온의동 518-1 (1층),263394.511598866,484753.431110702,한식
1439871,원주나루터,영업/정상,강원도 원주시 명륜동 841-8,283317.982822837,425301.643925607,기타
1439872,일점사,영업/정상,강원도 원주시 단구동 1644-8 1층,284911.404150012,424752.413120723,식육(숯불구이)
1439873,미소푸드,영업/정상,강원도 원주시 단계동 921-2번지,282575.225,426947.59,분식
1439874,먹거리감자탕,영업/정상,강원도 원주시 단구동 1657-8번지,284631.987583087,424913.094812875,한식
1439875,돈보따리,영업/정상,강원도 춘천시 후평동 711-25,265496.635389814,487208.465023886,식육(숯불구이)
1439876,장수닭갈비,영업/정상,강원도 춘천시 조양동 138-14,263951.365911529,486536.708320563,한식
1439877,짜장1번지,영업/정상,강원도 춘천시 후평동 748,266067.39182578,487663.040648154,한식
1439878,땡구땡구,영업/정상,강원도 춘천시 후평동 716-4번지,265297.911791914,487536.330792763,호프/통닭
1439879,멕시칸치킨(호반점),영업/정상,"강원도 춘천시 소양로1가 98-13 14,17",263760.750675728,487922.729624641,통닭(치킨)
1439880,황금한식부페,영업/정상,강원도 춘천시 우두동 558-1,264981.34445476,490622.330746263,한식
1439881,삼태기,영업/정상,강원도 춘천시 석사동 735-10번지,266158.576972469,485111.171743798,호프/통닭
1439882,신나는닭발,영업/정상,강원도 강릉시 주문진읍 교항리 9-1번지,360888.164875069,487403.887823087,호프/통닭
1439883,신혼부부,영업/정상,강원도 원주시 중앙동 56-44 자유시장 지층 2부럭2호,284033.921552232,428036.658847502,분식
